Rider,Number,Bike,"Fort William - 2024 Class","Fort William - 2024 Cost","Fort William - 2024 Status","Mont-Sainte-Anne - 2023 Class","Mont-Sainte-Anne - 2023 Position","Mont-Sainte-Anne - 2023 Points","Snowshoe - 2023 Class","Snowshoe - 2023 Position","Snowshoe - 2023 Points","Les Gets - 2023 Class","Les Gets - 2023 Position","Les Gets - 2023 Points","Loudenvielle - 2023 Class","Loudenvielle - 2023 Position","Loudenvielle - 2023 Points","Andorra - 2023 Class","Andorra - 2023 Position","Andorra - 2023 Points","Val di Sole - 2023 Class","Val di Sole - 2023 Position","Val di Sole - 2023 Points","Leogang - 2023 Class","Leogang - 2023 Position","Leogang - 2023 Points","Lenzerheide - 2023 Class","Lenzerheide - 2023 Position","Lenzerheide - 2023 Points"
"Abigail Hogie",,"Beyond Racing","Elite Women",14000,,,,,,,,,,,,,,,,,,,,,,,,,
"Abigail Ronca",,"Evolve Racing","Elite Women",15000,,"Junior Women",8,15,"Junior Women",9,10,"Junior Women",10,5,,,,"Junior Women",8,15,"Junior Women",8,15,"Junior Women",9,10,,,
"Adam Brayton",,"BNC Racing","Elite Men",30000,,,,,,,,,,,,,,,,,,,,,,,,,
"Alex Grandvallet Iscla",,,"Elite Men",10000,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfie Heming",,,"Junior Men",8000,,,,,,,,,,,,,,,,,,,,,,,,,
"Alvaro Pestana",,,"Junior Men",7000,,,,,,,,,,,,,,,,,,,,,,,,,
"Amaury Pierron",,"Commencal/Muc-Off by Riding Addiction","Elite Men",125000,,,,,,,,,,,,,,,,,,,,,,,,,
"Amelia Dudek",,,"Junior Women",35000,,,,,,,,,,,,,,"Junior Women",DNF,0,"Junior Women",9,10,"Junior Women",7,25,,,
"Andreas Kolb",,"Continental Atherton","Elite Men",210000,,"Elite Men",8,95,"Elite Men",7,110,"Elite Men",2,210,"Elite Men",15,60,,,,"Elite Men",6,125,"Elite Men",1,250,,,
"Angel Suarez",,"Frameworks Racing","Elite Men",100000,,,,,,,,,,,,,,"Elite Men",7,110,,,,,,,,,
"Angus Ferguson",,,"Elite Men",10000,,,,,,,,,,,,,,,,,,,,,,,,,
"Anna Newkirk",,"Beyond Racing","Elite Women",35000,,,,,,,,"Elite Women",6,90,,,,,,,,,,,,,"Elite Women",10,50
"Antoine Pierron",,"Commencal ICStudio","Elite Men",22000,,,,,,,,,,,"Elite Men",10,75,,,,"Elite Men",12,68,,,,,,
"Antoine Rogge",,"Lapierre Zipp Collective","Elite Men",23000,,,,,,,,,,,,,,,,,,,,,,,,,
